Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10μF","C_0805_2012Metric",16.383000,74.168000,0.000000,bottom
"C2","10μF","C_0805_2012Metric",16.383000,70.254500,0.000000,bottom
"C3","10u","C_0805_2012Metric",10.134600,16.002000,180.000000,bottom
"C4","0.1u","C_0805_2012Metric",19.278600,57.353200,90.000000,bottom
"C5","0.1u","C_0805_2012Metric",66.802000,40.182800,0.000000,bottom
"C6","0.1u","C_0805_2012Metric",24.892000,35.306000,90.000000,bottom
"C7","0.1u","C_0805_2012Metric",122.252500,40.132000,0.000000,bottom
"C8","0.1u","C_0805_2012Metric",74.955400,57.251600,90.000000,bottom
"C9","0.1u","C_0805_2012Metric",10.134600,12.293600,180.000000,bottom
"D1","BAT54GW","D_SOD-123",76.682600,46.126400,180.000000,bottom
"D2","BAT54GW","D_SOD-123",123.317000,33.782000,90.000000,bottom
"D3","BAT54GW","D_SOD-123",60.833000,46.101000,180.000000,bottom
"D4","BAT54GW","D_SOD-123",67.666090,33.702375,90.000000,bottom
"R1","1k","R_0805_2012Metric",82.562925,68.795913,90.000000,bottom
"R2","1k","R_0805_2012Metric",80.016584,68.783807,90.000000,bottom
"R3","1k","R_0805_2012Metric",85.134267,68.803876,90.000000,bottom
"R4","470","R_0805_2012Metric",82.558388,61.573371,-90.000000,bottom
"R5","470","R_0805_2012Metric",80.020522,61.576272,-90.000000,bottom
"R6","470","R_0805_2012Metric",80.016314,53.455569,90.000000,bottom
"R7","1k","R_0805_2012Metric",26.924000,69.238500,90.000000,bottom
"R8","1k","R_0805_2012Metric",24.384000,69.238500,90.000000,bottom
"R9","1k","R_0805_2012Metric",29.718000,69.191500,90.000000,bottom
"R10","470","R_0805_2012Metric",26.931019,61.470986,-90.000000,bottom
"R11","470","R_0805_2012Metric",24.395324,61.470986,-90.000000,bottom
"R12","470","R_0805_2012Metric",24.380127,53.581688,90.000000,bottom
"U3","74HCT74","TSSOP-14_4.4x5mm_P0.65mm",30.226000,35.306000,0.000000,bottom
"U4","74AHCT1G04","74AHCT1G04W5-7",57.404000,31.242000,180.000000,bottom
"J1","AUDIO_OUT","PinSocket_1x04_P2.54mm_Horizontal",-3.389000,59.862000,-90.000000,top
"P1","A2Bus","Male_Card-Edge_50_pin__100_mil",-39.497000,3.810000,0.000000,top
"U1","AY-3-8910","DIP-40_W15.24mm",-74.935000,65.029000,-90.000000,top
"U2","6522","DIP-40_W15.24mm",-75.008642,42.845000,-90.000000,top
"U5","AY-3-8910","DIP-40_W15.24mm",-19.304000,65.024000,-90.000000,top
"U6","6522","DIP-40_W15.24mm",-19.382642,42.845000,-90.000000,top
